# {"env_id": "Hopper-v2", "t_start": 1582971912.1432471} 
r,l,t
4.191142,8,1048.292798
5.48268,8,1048.376616
5.78087,8,1048.458053
5.709515,9,1048.546578
5.179845,8,1048.626788
4.372346,7,1048.697674
3.010025,7,1048.769327
6.586754,9,1048.849411
3.956363,7,1048.914193
4.206924,9,1049.001693
3.556669,7,1049.069
4.851721,7,1049.136433
4.86052,8,1049.21202
6.186304,8,1049.287469
5.071696,9,1049.404444
5.235978,7,1049.48655
5.518053,8,1049.564829
7.58054,11,1049.66825
3.416352,7,1049.737917
4.150063,7,1049.805026
4.768687,9,1049.890445
3.471109,7,1049.955582
3.469309,7,1050.026936
6.405176,10,1050.124833
5.474102,7,1050.194873
5.853417,9,1050.284179
4.979823,7,1050.361916
4.61649,8,1050.430571
6.157805,8,1050.501637
5.336107,8,1050.566714
4.758267,7,1050.624012
3.213606,8,1050.702017
5.813494,9,1050.799037
5.200153,8,1050.880932
4.009,7,1050.949762
3.641081,7,1051.014359
4.714254,7,1051.073291
3.828376,7,1051.13748
6.255436,8,1051.21479
5.532062,12,1051.325895
6.358073,8,1051.393011
4.304275,7,1051.453421
5.182595,10,1051.545611
3.449773,7,1051.609825
5.961927,8,1051.677966
4.324815,7,1051.74502
3.642318,7,1051.805426
5.611146,9,1051.882317
4.204826,9,1051.966497
4.657197,12,1052.083344
5.625731,8,1052.155905
4.390339,7,1052.22998
4.111278,9,1052.313539
5.96616,8,1052.380675
3.719674,10,1052.473875
4.566517,8,1052.570502
5.230848,8,1052.651184
3.754271,8,1052.734122
4.659476,8,1052.812409
5.621422,7,1052.874545
6.589083,8,1052.949071
5.553188,9,1053.036214
5.000369,7,1053.101585
5.111347,10,1053.196529
7.231763,9,1053.277716
4.363069,8,1053.34915
4.556037,8,1053.427724
4.718076,7,1053.489061
5.932976,8,1053.557173
5.658657,8,1053.633544
5.292482,8,1053.706718
3.835128,7,1053.771594
5.770174,8,1053.843587
7.125278,9,1053.92945
5.109847,8,1054.002439
